0;166;Et pourtant;1963;1960;Aznavour Charles;3;93.0;;31.0;0.5;;
1;92;Ohio;1984;1980;Adjani Isabelle;4;36.0;;321.0;0.3333333333333333;;
2;172;La bohème;1965;1960;Aznavour Charles;2;;111.0;31.0;0.0;;
3;159;L'épervier;1966;1960;Aufray Hugues;1;297.0;;;0.0;;
4;173;La mamma;1963;1960;Aznavour Charles;1;99.0;;31.0;1.0;;
5;175;Les comédiens;1962;1960;Aznavour Charles;0;55.0;;31.0;0.5;;
6;176;Les deux guitares;1960;1960;Aznavour Charles;1;;;31.0;0.0;;
7;178;Mes emmerdes;1976;1970;Aznavour Charles;0;59.0;;31.0;0.3333333333333333;;
8;183;Tu t'laisses aller;1960;1960;Aznavour Charles;4;218.0;;31.0;0.5;;
9;184;Elle est d'ailleurs;1980;1980;Bachelet Pierre;1;220.0;;;1.0;;
10;185;En l'an 2001;1985;1980;Bachelet Pierre;4;48.0;;;0.5;;
11;199;Les petits lolos;1984;1980;Balavoine Daniel;4;165.0;;49.0;0.0;;
12;200;Lucie (Daniel Balavoine);1978;1970;Balavoine Daniel;4;105.0;;49.0;0.0;;
13;208;Rayon de soleil;2008;2000;Baldé William;3;100.0;;;1.0;;
14;210;Dis, quand reviendras-tu ?;1964;1960;Barbara;4;353.0;212.0;108.0;0.5;;
15;211;Göttingen;1964;1960;Barbara;4;;;108.0;0.0;;
16;197;L'Aziza;1985;1980;Balavoine Daniel;2;60.0;123.0;49.0;1.0;;
17;179;Mourir d'aimer;1971;1970;Aznavour Charles;4;139.0;;31.0;0.0;;
18;93;Pull marine;1983;1980;Adjani Isabelle;2;132.0;321.0;321.0;1.0;;
19;83;Partir un jour;1996;1990;2 Be 3;3;31.0;207.0;207.0;0.42857142857142855;;
20;109;On dirait;2016;2010;Amir;0;150.0;112.0;70.0;0.75;;
21;95;Ma biche;1963;1960;Alamo Frank;3;59.0;;;1.0;;
22;97;Moi Lolita;2000;2000;Alizée;2;177.0;49.0;49.0;1.0;;
23;103;Requiem;2017;2010;Alma;4;42.0;;;0.5;;
24;104;Etats d'amour;2017;2010;Amir;0;56.0;;70.0;0.125;;
25;105;J'ai cherché;2016;2010;Amir;2;118.0;270.0;70.0;1.0;;
26;106;La fête (Amir);2020;2020;Amir;0;56.0;;70.0;0.5;;
27;108;Longtemps;2018;2010;Amir;2;97.0;70.0;70.0;0.75;;
28;84;Toujours là pour toi;1997;1990;2 Be 3;1;140.0;;207.0;0.0;;
29;203;Sauver l'amour;1985;1980;Balavoine Daniel;0;48.0;;49.0;0.7142857142857143;;
30;204;Soulève-moi;1982;1980;Balavoine Daniel;4;133.0;;49.0;0.0;;
31;206;Vendeurs de larmes;1982;1980;Balavoine Daniel;4;52.0;;49.0;0.0;;
32;207;Vivre ou survivre;1982;1980;Balavoine Daniel;3;105.0;;49.0;0.6;;
